index,t,bytes,mean_luma,std_luma,max_luma,lit_px,lit_frac,coverage_px,coverage_frac,luma_mass,adj_mean_delta,adj_max_delta,dhash,ahash,sha256
0,0.0,28981,5.987159252166748,10.422295570373535,254.0,20218,0.01872037037037037,0,0.0,2159.672119140625,nan,nan,18279316122001608,9063421182012,ffd6089479e4a408e9fd7918282b728f51c4ef1b90ec390c817d5545801e1190
1,0.001669449081803005,29136,5.991673946380615,10.416495323181152,254.0,20351,0.01884351851851852,388,0.00035925925925925925,2161.77294921875,0.01670740731060505,116.0,18279316122001608,9063421182012,e375c96338157701d8450a1cfce10eb5bbe8ce371df056735a077946bcded6b0
2,0.00333889816360601,29199,5.997569561004639,10.424427032470703,254.0,20497,0.018978703703703702,724,0.0006703703703703703,2166.212890625,0.020391667261719704,121.0,18279316122001608,9063421182012,3d14f6f1e00e76c12f34df62042d8f2cdf1869b28e53c3fc5179f281cd11958b
3,0.005008347245409015,29261,5.9994425773620605,10.427484512329102,254.0,20536,0.019014814814814814,858,0.0007944444444444444,2167.568115234375,0.010160185396671295,127.0,18279316122001608,9063421182012,a4034eda50c3b5d4b7e8590b388f078ad150380b7d3be8474e5e392b29f87131
4,0.00667779632721202,29325,6.00227689743042,10.4340181350708,254.0,20578,0.019053703703703705,966,0.0008944444444444445,2169.72412109375,0.008791666477918625,116.0,18279316122001608,9063421182012,6c7dfe1fd3e42d7c5f255c4aea1604323711aca697553514c5c3aa395df24798
5,0.008347245409015025,29464,6.0117974281311035,10.451498985290527,254.0,20762,0.019224074074074074,1337,0.001237962962962963,2177.3701171875,0.021129630506038666,126.0,18279316122001608,9063421182012,4225ba5240e4164c85f3e4e1f23f85dbe83cc6b7cae2c2410fbb1432067317c4
6,0.01001669449081803,29634,6.0173492431640625,10.460930824279785,254.0,20870,0.019324074074074073,1600,0.0014814814814814814,2181.48388671875,0.018024073913693428,117.0,18279316122001608,9063421186108,93b0d93be67c11b37f95d29373239ae4a8fbd133337aa6b342d91c6557f8bf99
7,0.011686143572621035,29771,6.024988651275635,10.47476577758789,254.0,21017,0.019460185185185185,1838,0.0017018518518518517,2187.34912109375,0.019963888451457024,119.0,18279316122001608,9063421186108,b57926564dcbe094bed39dd70ac61b5355fab29e6bc36ce13ecec2cee4e3b2e3
8,0.01335559265442404,29988,6.034497261047363,10.498762130737305,254.0,21168,0.0196,2093,0.001937962962962963,2195.0029296875,0.021573148667812347,131.0,18279316122001608,9063421186108,9d9b283b28c275ef5e730d7efc4e06dfc1a5e95adf2904f6c75e3889f8e8ff91
9,0.015025041736227046,30098,6.041164875030518,10.510643005371094,254.0,21298,0.01972037037037037,2302,0.0021314814814814816,2200.090087890625,0.0194398146122694,121.0,18279316122001608,9063421186108,231039b059d749ba73acaaa2249407c2ba9ae89e5f71a2aa2696900602f2e3db
10,0.01669449081803005,30197,6.043607234954834,10.511015892028809,254.0,21348,0.019766666666666665,2479,0.0022953703703703704,2201.35595703125,0.015735184773802757,109.0,18279316122005704,9063421186108,a3b10d1015cda80ffffb64919a34bda3f0c66049cab1d40f6159d938781ffe90
11,0.018363939899833055,30443,6.054250717163086,10.529967308044434,254.0,21526,0.01993148148148148,2809,0.002600925925925926,2209.156005859375,0.026434259489178658,110.0,18279316122005704,9063421186108,e4ee59e513d000848dc8c758c734dea79d7a6e921351cba9c3a74167fdef404c
12,0.02003338898163606,30595,6.062150001525879,10.546958923339844,254.0,21649,0.02004537037037037,3075,0.0028472222222222223,2215.10302734375,0.023904629051685333,115.0,18279316122005704,9063421186108,f894ad901735cb5b6696186279ff0fafde5e51aa309e368af4fdbdd119f7ca4b
13,0.021702838063439065,30804,6.070106506347656,10.560617446899414,254.0,21786,0.020172222222222223,3343,0.0030953703703703703,2220.781982421875,0.02322314865887165,107.0,18279316122005704,9063421186108,552bb516dab051f77920b874ae5583cd74f2d1c87dbad14d639703031d9c2a51
14,0.02337228714524207,30913,6.076329708099365,10.570074081420898,254.0,21910,0.020287037037037037,3632,0.003362962962962963,2225.087890625,0.02361574023962021,100.0,18279316122529992,9063421186108,4193fa3ac69d2811a1d075d721e9466b7a8e571f6f8a695da8468fc642d6e9b0
15,0.025041736227045076,30980,6.079151153564453,10.57670783996582,254.0,21964,0.020337037037037035,3791,0.003510185185185185,2227.31005859375,0.02030092664062977,86.0,18279316122529992,9063421188156,ab4f76643a65bdfba3e0a29e0a32b15d8e75fc32ec4ca408113a2bd062ad296d
16,0.02671118530884808,31030,6.082329750061035,10.582368850708008,254.0,22042,0.02040925925925926,3985,0.0036898148148148146,2229.5830078125,0.023050926625728607,73.0,18279316122529992,9063421188156,284938e992fefad021d12f4f01a9d1b7a2296526af69d43e7a3dc9db90eb201d
17,0.028380634390651086,31103,6.08816385269165,10.589733123779297,254.0,22147,0.020506481481481483,4272,0.003955555555555556,2233.385986328125,0.025943517684936523,74.0,18279316122529992,9063421188156,a830f80b184aea0652412b605331a8dc6345659bfd9bdfe53c7c5670cedade64
18,0.03005008347245409,31254,6.095042705535889,10.600319862365723,254.0,22266,0.020616666666666665,4603,0.004262037037037037,2237.85302734375,0.02721203677356243,112.0,18279316122529992,9063421188156,6f9110fbdb83eb87f750143638d73bb0282c59b711bbbaed4f41bdcf2b721fbd
19,0.03171953255425709,31445,6.1033220291137695,10.614157676696777,254.0,22391,0.020732407407407408,4933,0.004567592592592593,2243.489990234375,0.029044443741440773,95.0,18279316122529992,9063421188156,c946338eceea93542f1dea4ebeb640b9d9a2334e1311cde4bf10287d28d6b81d
20,0.0333889816360601,31486,6.106940746307373,10.621195793151855,254.0,22452,0.020788888888888888,5097,0.0047194444444444445,2246.238037109375,0.024807406589388847,100.0,18279316122529992,9063421188156,01e0b067d90894ddc1cd4b065325ac06e49e7b1b4cbfd54f25516b13df01e548
21,0.035058430717863104,31637,6.1157684326171875,10.638971328735352,254.0,22600,0.020925925925925924,5377,0.004978703703703704,2252.910888671875,0.029277777299284935,114.0,18279316122529992,9063421188156,7e11a45594f3f1490ce40bbbbc22bca7ec8ea6a93595989b8b28d8635bcacf43
22,0.03672787979966611,31789,6.123142719268799,10.65404224395752,254.0,22720,0.021037037037037038,5624,0.005207407407407407,2258.30810546875,0.02784629538655281,124.0,18279316122529992,9063421188156,ab6e20dd7b866e45d912db495ae5f3d67e94c38e66e12902daffcd33da84138f
23,0.038397328881469114,31874,6.128206253051758,10.662076950073242,254.0,22829,0.021137962962962963,5778,0.00535,2262.126953125,0.023706480860710144,117.0,18279316122529992,9063421188156,ec7c422c5b9a60b0cc05dbaf71fe6f7d7f523f5cbaf964f39d524e93bd5d2b6b
24,0.04006677796327212,31962,6.1315741539001465,10.666966438293457,254.0,22892,0.021196296296296296,5919,0.005480555555555555,2264.48193359375,0.019208332523703575,94.0,18279316122529992,9063421188156,280fdac2bc403cfed310b9073aa98658dab59ffbac5cc1198b38f5f54fbf74bd
25,0.041736227045075125,32107,6.14127779006958,10.691848754882812,254.0,23056,0.021348148148148147,6120,0.005666666666666667,2272.513916015625,0.023035185411572456,134.0,18279316122529992,9063421188156,aaef02c204062cc54c7930bda022cceba77a0079dc014316e09803863863e9fb
26,0.04340567612687813,32105,6.144038200378418,10.699277877807617,254.0,23098,0.021387037037037038,6173,0.005715740740740741,2274.95703125,0.014252778142690659,73.0,18279316122529992,9063421188156,fa8396dd980896f082316436b4bf84b386e5ecd37f34b9154e39605b0e06a6f8
27,0.045075125208681135,32122,6.146313190460205,10.7064790725708,254.0,23116,0.021403703703703703,6229,0.005767592592592592,2276.964111328125,0.0126638887450099,84.0,18279316122529992,9063421188156,dd42e4be5f6552e89db0e42a0449508a339ab38b4579068919319d81de5573c6
28,0.04674457429048414,32157,6.149306297302246,10.713546752929688,254.0,23161,0.02144537037037037,6283,0.005817592592592593,2279.367919921875,0.013467592187225819,80.0,18279316122529992,9063421188156,2def0fcfb0557709869da91a560d3a049ed4d213c87b032278804e364ead6ae5
29,0.048414023372287146,32253,6.152813911437988,10.72060489654541,254.0,23217,0.021497222222222223,6378,0.005905555555555555,2281.888916015625,0.012287037447094917,91.0,18279316122529992,9063421188156,ca8b172b1774ab6da0f459cedb41f638c49f64ef2f2566715c52f93f8538f8ed
30,0.05008347245409015,32402,6.159076690673828,10.731924057006836,254.0,23312,0.021585185185185186,6535,0.006050925925925926,2286.219970703125,0.01537037082016468,106.0,18279316122529992,9063421188156,3bccfc63a11997d0ef189d3fe23b2c0d4f5f5a38e6c5644b7f008404c94d7136
31,0.05175292153589316,32737,6.167713165283203,10.74983024597168,254.0,23427,0.021691666666666668,6754,0.006253703703703704,2292.547119140625,0.01768055558204651,119.0,18279316122529992,9063421188156,0d03f440eefbf5254616b695ce0f35c70c39a50fc4d5c1429f028d486048c80a
32,0.05342237061769616,32912,6.172298908233643,10.760693550109863,254.0,23481,0.021741666666666666,6854,0.006346296296296296,2296.027099609375,0.013047222048044205,92.0,18279316122529992,9063421188156,4b73bb7d0f2ccc5fcf39d28b870c10f2f720a9a0b2dfce001de82973bc7bb0a8
33,0.05509181969949917,33035,6.178167819976807,10.777864456176758,254.0,23573,0.02182685185185185,6978,0.006461111111111111,2300.743896484375,0.014118518680334091,107.0,18279316122529992,9063421450300,99483ff657f5b04289cf7b7b85970023947b8b5479b8b996d20cdf1a7f8215f1
34,0.05676126878130217,33144,6.187431335449219,10.808282852172852,254.0,23699,0.02194351851851852,7130,0.006601851851851852,2308.75,0.01947685144841671,135.0,18279316122792136,9063421450300,392fdb29efd943a974a7df507fc835cb5028834fffe97aae4391218f849b97b9
35,0.05843071786310518,33228,6.1923723220825195,10.828129768371582,254.0,23748,0.021988888888888888,7201,0.006667592592592593,2313.201904296875,0.01518518477678299,109.0,18279316122792136,9063421450300,2c7eb05f826be87172326ea075685655c84605fd7785e794e050c095f197a358
36,0.06010016694490818,33383,6.199616432189941,10.84998893737793,254.0,23829,0.02206388888888889,7339,0.00679537037037037,2319.322021484375,0.018492592498660088,120.0,18279316122792136,9063421450300,9399588fbf58df0375508b1c1b4b93f5fc48dac42ff10de5ea62cdd1d3729722
37,0.06176961602671119,33595,6.208831310272217,10.87586784362793,254.0,23977,0.022200925925925926,7521,0.006963888888888889,2326.962890625,0.023933332413434982,109.0,18279316122792136,9063421450300,f4a99af60607425410c66ca1c52693d5e9afb8c044f22dcf4b17d395c49b4d6b
38,0.06343906510851419,33870,6.219211101531982,10.90939998626709,254.0,24105,0.022319444444444444,7714,0.007142592592592593,2336.166015625,0.022388888522982597,105.0,18279316122792136,9063421450300,18da96e908a9e81dbaf2195e3916033b9c54c28363dc3ce50fdeb8b19a624109
39,0.0651085141903172,34123,6.227571487426758,10.939109802246094,254.0,24222,0.02242777777777778,7869,0.007286111111111111,2343.3359375,0.021849073469638824,93.0,18279316122792136,9063421450300,4dabe54868b58e8d206ccab6d8a07862ea5309c3138590a114bf6987c451f67f
